"jaar","code","provincie"
2021,"1680","Drenthe"
2021,"0358","Noord-Holland"
2021,"0197","Gelderland"
2021,"0059","Fryslân"
2021,"0482","Zuid-Holland"
2021,"0613","Zuid-Holland"
2021,"0361","Noord-Holland"
2021,"0141","Overijssel"
2021,"0034","Flevoland"
2021,"0484","Zuid-Holland"
2021,"1723","Noord-Brabant"
2021,"1959","Noord-Brabant"
2021,"0060","Fryslân"
2021,"0307","Utrecht"
2021,"0362","Noord-Holland"
2021,"0363","Noord-Holland"
2021,"0200","Gelderland"
2021,"0202","Gelderland"
2021,"0106","Drenthe"
2021,"0743","Noord-Brabant"
2021,"0744","Noord-Brabant"
2021,"0308","Utrecht"
2021,"0489","Zuid-Holland"
2021,"0203","Gelderland"
2021,"0888","Limburg"
2021,"1954","Limburg"
2021,"0370","Noord-Holland"
2021,"0889","Limburg"
2021,"1945","Gelderland"
2021,"1724","Noord-Brabant"
2021,"0893","Limburg"
2021,"0373","Noord-Holland"
2021,"0748","Noord-Brabant"
2021,"1859","Gelderland"
2021,"1721","Noord-Brabant"
2021,"0753","Noord-Brabant"
2021,"0209","Gelderland"
2021,"0375","Noord-Holland"
2021,"0310","Utrecht"
2021,"1728","Noord-Brabant"
2021,"0376","Noord-Holland"
2021,"0377","Noord-Holland"
2021,"1901","Zuid-Holland"
2021,"0755","Noord-Brabant"
2021,"1681","Drenthe"
2021,"0147","Overijssel"
2021,"0654","Zeeland"
2021,"0756","Noord-Brabant"
2021,"0757","Noord-Brabant"
2021,"0758","Noord-Brabant"
2021,"0501","Zuid-Holland"
2021,"1876","Gelderland"
2021,"0213","Gelderland"
2021,"0899","Limburg"
2021,"0312","Utrecht"
2021,"0313","Utrecht"
2021,"0214","Gelderland"
2021,"0502","Zuid-Holland"
2021,"0383","Noord-Holland"
2021,"0109","Drenthe"
2021,"1706","Noord-Brabant"
2021,"1684","Noord-Brabant"
2021,"0216","Gelderland"
2021,"0148","Overijssel"
2021,"1891","Fryslân"
2021,"0503","Zuid-Holland"
2021,"0762","Noord-Brabant"
2021,"0150","Overijssel"
2021,"0384","Noord-Holland"
2021,"1774","Overijssel"
2021,"0221","Gelderland"
2021,"0222","Gelderland"
2021,"0766","Noord-Brabant"
2021,"0505","Zuid-Holland"
2021,"0498","Noord-Holland"
